gene1	gene	score
CPA1	CPA2	0.444444444444444
CPA2	CPA1	0.444444444444444
URA3	URA3	0.333333333333333
URA5	RPN11	0.222222222222222
URA4	PHO13	0.222222222222222
CPA1	SSB2	0.222222222222222
CPA1	RPN11	0.222222222222222
CPA2	RPN11	0.222222222222222
CPA2	RAD51	0.222222222222222
RPN11	SCL1	0.222222222222222
RPN11	RAD23	0.222222222222222
RPN11	PRE5	0.222222222222222
RPN11	RPN13	0.222222222222222
RPN11	PRE8	0.222222222222222
RPN11	PRE9	0.222222222222222
RPN11	PRE6	0.222222222222222
RPN11	PUP2	0.222222222222222
RAD51	RAD55	0.222222222222222
RAD51	SRS2	0.222222222222222
CPA2	CPA1	0.197530864197531
CPA1	CPA2	0.197530864197531
RPN11	PRE4	0.197530864197531
RPN11	PUP1	0.197530864197531
RPN11	UBI4	0.17283950617284
RPN11	PRE7	0.17283950617284
RPN11	PRE2	0.17283950617284
RPN11	PUP3	0.17283950617284
RPN11	PRE3	0.17283950617284
RPN11	DSK2	0.148148148148148
RPN11	ECM29	0.123456790123457
RPN11	SSB2	0.123456790123457
RPN11	NAS6	0.123456790123457
SSB2	RPN11	0.123456790123457
SSB2	SSE1	0.123456790123457
RAD51	RAD57	0.123456790123457
URA3	URA3	0.111111111111111
URA10	MNE1	0.111111111111111
URA10	URA5	0.111111111111111
URA10	PAC10	0.111111111111111
URA10	SSB1	0.111111111111111
URA10	NUP1	0.111111111111111
URA10	SSZ1	0.111111111111111
URA5	URA5	0.111111111111111
URA5	ACC1	0.111111111111111
URA5	RPT5	0.111111111111111
URA5	SHE2	0.111111111111111
URA5	URA10	0.111111111111111
URA5	UBP10	0.111111111111111
URA5	PPZ1	0.111111111111111
URA5	SSB2	0.111111111111111
URA5	NHP6A	0.111111111111111
URA5	TGL2	0.111111111111111
URA5	SSB1	0.111111111111111
URA5	SWA2	0.111111111111111
URA5	NTR2	0.111111111111111
URA5	RPN1	0.111111111111111
URA5	GCD7	0.111111111111111
URA5	PFK26	0.111111111111111
URA3	RNQ1	0.111111111111111
URA3	SDD2	0.111111111111111
URA3	GPM1	0.111111111111111
URA3	HSP82	0.111111111111111
URA3	MMS22	0.111111111111111
URA3	HXK1	0.111111111111111
URA3	ECM10	0.111111111111111
URA3	GIM3	0.111111111111111
URA3	CCT8	0.111111111111111
URA3	HSP12	0.111111111111111
URA3	FUR4	0.111111111111111
URA3	URA3	0.111111111111111
URA3	SSE2	0.111111111111111
URA3	GIM4	0.111111111111111
URA3	HSP42	0.111111111111111
URA3	YDJ1	0.111111111111111
URA3	SSZ1	0.111111111111111
URA3	SSA2	0.111111111111111
URA3	SSB1	0.111111111111111
URA3	SSB2	0.111111111111111
URA3	CCT4	0.111111111111111
URA3	SSE1	0.111111111111111
URA3	GIM5	0.111111111111111
URA3	HSC82	0.111111111111111
URA3	SSA1	0.111111111111111
URA4	TOP2	0.111111111111111
URA4	SAK1	0.111111111111111
URA4	JSN1	0.111111111111111
URA4	SAN1	0.111111111111111
URA4	SSB2	0.111111111111111
CPA1	JSN1	0.111111111111111
CPA1	NOP56	0.111111111111111
CPA1	RPN10	0.111111111111111
CPA1	RPT5	0.111111111111111
CPA1	CKB2	0.111111111111111
CPA1	SRB4	0.111111111111111
CPA1	NCE103	0.111111111111111
CPA1	HHF1	0.111111111111111
CPA1	RPN1	0.111111111111111
CPA1	SWM1	0.111111111111111
CPA1	UBC7	0.111111111111111
CPA1	SSB1	0.111111111111111
CPA1	SSC1	0.111111111111111
CPA1	TCP1	0.111111111111111
CPA1	SSA1	0.111111111111111
CPA1	ESC1	0.111111111111111
CPA1	ERG29	0.111111111111111
CPA2	URA2	0.111111111111111
CPA2	FAS1	0.111111111111111
CPA2	MMS22	0.111111111111111
CPA2	RFC2	0.111111111111111
CPA2	YGK3	0.111111111111111
CPA2	CDC3	0.111111111111111
CPA2	ARP2	0.111111111111111
CPA2	MEK1	0.111111111111111
CPA2	PHO85	0.111111111111111
CPA2	SNF1	0.111111111111111
CPA2	RPN1	0.111111111111111
CPA2	RPN10	0.111111111111111
CPA2	RPT5	0.111111111111111
CPA2	RPC40	0.111111111111111
CPA2	SUI1	0.111111111111111
CPA2	SSB1	0.111111111111111
CPA2	SSB2	0.111111111111111
CPA2	ILV1	0.111111111111111
CPA2	RPT3	0.111111111111111
CPA2	GFA1	0.111111111111111
CPA2	YOR302W	0.111111111111111
CPA2	PSA1	0.111111111111111
CPA2	GCD7	0.111111111111111
CPA2	HHF1	0.111111111111111
CPA2	URA7	0.111111111111111
CPA2	DBP8	0.111111111111111
CPA2	HRR25	0.111111111111111
CPA2	SIT4	0.111111111111111
CPA2	RVB2	0.111111111111111
CPA2	ATG12	0.111111111111111
CPA2	CMR1	0.111111111111111
CPA2	YKU80	0.111111111111111
CPA2	VAM6	0.111111111111111
SSB1	SSE1	0.111111111111111
RPT5	RAD23	0.111111111111111
PPZ1	SIS2	0.111111111111111
RPN1	UBP6	0.111111111111111
RPN1	RPT4	0.111111111111111
RPN1	RPN5	0.111111111111111
GCD7	GCD2	0.111111111111111
HSP82	TAH1	0.111111111111111
SSE1	SSB1	0.111111111111111
RPN10	RPN9	0.111111111111111
RPN10	RPT1	0.111111111111111
SRB4	RGR1	0.111111111111111
HHF1	HAT1	0.111111111111111
SSC1	TIM23	0.111111111111111
PHO85	PCL7	0.111111111111111
PHO85	PCL6	0.111111111111111
RPC40	RPA190	0.111111111111111
SUI1	TIF5	0.111111111111111
RPT3	RPT6	0.111111111111111
SIT4	SAP190	0.111111111111111
SIT4	SAP185	0.111111111111111
RVB2	PIH1	0.111111111111111
VAM6	PEP5	0.111111111111111
CPA2	RPN11	0.0987654320987654
CPA2	RAD51	0.0987654320987654
CPA1	SSB2	0.0987654320987654
CPA1	RPN11	0.0987654320987654
RPN11	RPN14	0.0987654320987654
RPN11	URA7	0.0987654320987654
RPN11	SSB1	0.0987654320987654
RPN11	SSA1	0.0987654320987654
RPN11	SSA2	0.0987654320987654
RPN11	SSE1	0.0987654320987654
SSB2	SSE2	0.0987654320987654
SSB2	RPN10	0.0987654320987654
RAD51	RAD51	0.0987654320987654
RAD51	CSM2	0.0987654320987654
NTR2	SPP382	0.0987654320987654
HSP82	CNS1	0.0987654320987654
HSC82	CPR6	0.0987654320987654
HSC82	AHA1	0.0987654320987654
SSA1	SUP35	0.0987654320987654
SAK1	SNF1	0.0987654320987654
