gene1	gene	score
Xylt2	Enam	0.111111111111111
Enam	Mfap5	0.0123456790123457
Enam	Kng1	0.0123456790123457
Enam	Saraf	0.0123456790123457
Enam	Lman2	0.0123456790123457
Enam	Ahsg	0.0123456790123457
Enam	Ctsd	0.0123456790123457
Enam	Col5a1	0.0123456790123457
Enam	Anxa2	0.0123456790123457
Enam	Trf	0.0123456790123457
Enam	Xylt2	0.0123456790123457
Enam	CD63	0.0123456790123457
Enam	Selenof	0.0123456790123457
Enam	Bgn	0.0123456790123457
Enam	Tmeff2	0.0123456790123457
Enam	Col2a1	0.0123456790123457
Enam	Car3	0.0123456790123457
Enam	AI837181	0.0123456790123457
Enam	Bst2	0.0123456790123457
